labelset,cell_label,cell_fullname,n_cells,source,source_label,cell_count,partitioned,source_label_total,purity,coverage
L2,Endo_artery,Artery endothelial,11267,celltype_GarciaAlonso2021,Endothelial SEMA3G,299,523,324,0.5717,0.9228
L2,Endo_artery,Artery endothelial,11267,celltype_GarciaAlonso2021,Endothelial ACKR1,224,523,5413,0.4283,0.0414
L2,Endo_artery,Artery endothelial,11267,celltype_GarciaAlonso2022,Endothelial,946,947,6280,0.9989,0.1506
L2,Endo_artery,Artery endothelial,11267,celltype_GarciaAlonso2022,Epithelial,1,947,9596,0.0011,0.0001
L2,Endo_artery,Artery endothelial,11267,celltype_HECA,Arterial,659,745,815,0.8846,0.8086
L2,Endo_artery,Artery endothelial,11267,celltype_HECA,Venous,86,745,6662,0.1154,0.0129
L2,Endo_artery,Artery endothelial,11267,celltype_Lardenois2026,Endothelial,27,27,179,1.0,0.1508
L2,Endo_artery,Artery endothelial,11267,celltype_Lorenzi2025,Endothelial,1016,1016,7907,1.0,0.1285
L2,Endo_artery,Artery endothelial,11267,celltype_OvarySanger2026,Endo_Art,1812,2636,2153,0.6874,0.8416
L2,Endo_artery,Artery endothelial,11267,celltype_OvarySanger2026,Endo_Art_LY6H+_angiogenic,506,2636,588,0.192,0.8605
L2,Endo_artery,Artery endothelial,11267,celltype_OvarySanger2026,Endo_Cap,206,2636,7359,0.0781,0.028
L2,Endo_artery,Artery endothelial,11267,celltype_OvarySanger2026,Endo_Art_HEY2+_notch,79,2636,80,0.03,0.9875
L2,Endo_artery,Artery endothelial,11267,celltype_OvarySanger2026,Endo_Cap_LY6H+_angiogenic,25,2636,1048,0.0095,0.0239
L2,Endo_artery,Artery endothelial,11267,celltype_OvarySanger2026,Endo_Cycling,6,2636,359,0.0023,0.0167
L2,Endo_artery,Artery endothelial,11267,celltype_OvarySanger2026,Endo_Ven,1,2636,788,0.0004,0.0013
L2,Endo_artery,Artery endothelial,11267,celltype_OvarySanger2026,PV_SMC_Arterial,1,2636,31802,0.0004,0.0
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2022,blood vessel endothelial cell,322,322,3418,1.0,0.0942
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,Artery,1039,1313,1128,0.7913,0.9211
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,aPCV,134,1313,2402,0.1021,0.0558
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,Tip,75,1313,290,0.0571,0.2586
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,Capillary,20,1313,1656,0.0152,0.0121
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,tPCV,18,1313,3680,0.0137,0.0049
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,EndoMT,8,1313,125,0.0061,0.064
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,HEV,5,1313,616,0.0038,0.0081
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,PCV,5,1313,3751,0.0038,0.0013
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,HMGB2-Prolif,3,1313,1402,0.0023,0.0021
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,MUC16+_Gland_sec,2,1313,1447,0.0015,0.0014
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,Fibrocytes,1,1313,46,0.0008,0.0217
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,Gland-sec-progenitor-A,1,1313,4403,0.0008,0.0002
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,Myoepithelial,1,1313,110,0.0008,0.0091
L2,Endo_artery,Artery endothelial,11267,celltype_Ulrich2024,Tissue-resident-vascular-progenitor,1,1313,203,0.0008,0.0049
L2,Endo_artery,Artery endothelial,11267,celltype_Weigert2025,endothelial cell,766,771,4780,0.9935,0.1603
L2,Endo_artery,Artery endothelial,11267,celltype_Weigert2025,ciliated epithelial cell,2,771,5184,0.0026,0.0004
L2,Endo_artery,Artery endothelial,11267,celltype_Weigert2025,endothelial cell of lymphatic vessel,2,771,2789,0.0026,0.0007
L2,Endo_artery,Artery endothelial,11267,celltype_Weigert2025,stromal cell,1,771,51072,0.0013,0.0
L3,Endo_cap,Capillary endothelial,21199,celltype_GarciaAlonso2021,Endothelial ACKR1,366,367,5413,0.9973,0.0676
L3,Endo_cap,Capillary endothelial,21199,celltype_GarciaAlonso2021,Endothelial SEMA3G,1,367,324,0.0027,0.0031
L3,Endo_cap,Capillary endothelial,21199,celltype_GarciaAlonso2022,Endothelial,2751,2751,6280,1.0,0.4381
L3,Endo_cap,Capillary endothelial,21199,celltype_HECA,Venous,437,471,6662,0.9278,0.0656
L3,Endo_cap,Capillary endothelial,21199,celltype_HECA,Arterial,33,471,815,0.0701,0.0405
L3,Endo_cap,Capillary endothelial,21199,celltype_HECA,Lymphatic,1,471,101,0.0021,0.0099
